
Loaded 985020 rows  |  methods: ['AE_2d_l128', 'AE_2d_l16', 'AE_2d_l32', 'AE_2d_l32_chl', 'AE_2d_l32_chlk49nfl', 'AE_2d_l32_chlk49sst', 'AE_2d_l32_chlnflsst', 'AE_2d_l32_k49nflsst', 'AE_2d_l32_mae015', 'AE_2d_l32_mae030', 'AE_2d_l32_mae040', 'AE_2d_l32_mae050', 'AE_2d_l32_mae070', 'AE_2d_l4', 'AE_2d_l64', 'AE_3d_l128_t4', 'AE_3d_l16_t4', 'AE_3d_l32_t4', 'AE_3d_l32_t4_chl', 'AE_3d_l32_t4_chlk49nfl', 'AE_3d_l32_t4_chlk49sst', 'AE_3d_l32_t4_chlnflsst', 'AE_3d_l32_t4_k49nflsst', 'AE_3d_l32_t4_mae015', 'AE_3d_l32_t4_mae030', 'AE_3d_l32_t4_mae040', 'AE_3d_l32_t4_mae050', 'AE_3d_l32_t4_mae070', 'AE_3d_l4_t4', 'AE_3d_l64_t4', 'B1_chla_zscore', 'B2_multivar_zscore', 'B3T_pca_k128_t4', 'B3T_pca_k16_t4', 'B3T_pca_k32_t4', 'B3T_pca_k4_t4', 'B3T_pca_k64_t4', 'B3_pca_k128', 'B3_pca_k16', 'B3_pca_k32', 'B3_pca_k4', 'B3_pca_k64']  |  regions: 5

============================================================================================
Method                                   Region                                  Mean      Std
AE_2d_l32_mae040             0.813      0.848      0.830          0.769                0.828                0.806                0.778                0.795             0.869             0.980   
AE_2d_l32_mae050             0.723      0.770      0.746          0.690                0.740                0.722                0.710                0.712             0.791             0.921   
AE_2d_l32_mae070             0.471      0.479      0.482          0.430                0.481                0.446                0.483                0.445             0.515             0.606   
AE_2d_l4                     0.872      0.944      0.913          0.774                0.889                0.841                0.889                0.905             0.919             0.871   
AE_2d_l64                    0.998      0.984      0.995          0.909                0.996                0.953                0.937                0.963             0.991             0.894   
AE_3d_l128_t4                0.950      0.937      0.947          0.862                0.949                0.899                0.902                0.920             0.949             0.880   
AE_3d_l16_t4                 0.861      0.886      0.878          0.779                0.871                0.826                0.839                0.859             0.887             0.856   
AE_3d_l32_t4                 0.927      0.938      0.938          0.839                0.934                0.885                0.896                0.915             0.943             0.885   
AE_3d_l32_t4_chl             0.776      0.766      0.773          0.833                0.781                0.803                0.719                0.681             0.786             0.770   
AE_3d_l32_t4_chlk49nfl       0.937      0.941      0.944          0.853                0.946                0.896                0.896                0.916             0.949             0.895   
AE_3d_l32_t4_chlk49sst       0.896      0.896      0.900          0.894                0.902                0.932                0.795                0.830             0.909             0.866   
AE_3d_l32_t4_chlnflsst       0.803      0.823      0.817          0.708                0.806                0.710                0.861                0.813             0.823             0.785   
AE_3d_l32_t4_k49nflsst       0.823      0.847      0.839          0.666                0.828                0.746                0.815                0.872             0.846             0.808   
AE_3d_l32_t4_mae015          0.918      0.934      0.931          0.837                0.927                0.880                0.891                0.905             0.941             0.908   
AE_3d_l32_t4_mae030          0.697      0.759      0.728          0.673                0.715                0.697                0.707                0.696             0.766             0.866   
AE_3d_l32_t4_mae040          0.494      0.580      0.533          0.464                0.516                0.516                0.492                0.530             0.564             0.680   
AE_3d_l32_t4_mae050          0.405      0.484      0.439          0.432                0.432                0.442                0.412                0.408             0.487             0.683   
AE_3d_l32_t4_mae070          0.368      0.463      0.409          0.368                0.394                0.406                0.376                0.404             0.451             0.625   
AE_3d_l4_t4                  0.825      0.893      0.864          0.735                0.843                0.796                0.839                0.857             0.875             0.854   
AE_3d_l64_t4                 0.939      0.937      0.942          0.851                0.940                0.891                0.900                0.918             0.945             0.882   
B1_chla_zscore               0.345      0.378      0.365          0.379                0.366                0.391                0.308                0.306             0.383             0.458   
B2_multivar_zscore           0.338      0.365      0.355          0.392                0.356                0.365                0.347                0.290             0.385             0.486   
B3T_pca_k128_t4              0.961      0.960      0.965          0.869                0.963                0.913                0.921                0.939             0.967             0.895   
B3T_pca_k16_t4               0.828      0.873      0.855          0.744                0.843                0.798                0.823                0.841             0.867             0.846   
B3T_pca_k32_t4               0.886      0.916      0.906          0.795                0.896                0.844                0.876                0.891             0.915             0.876   
B3T_pca_k4_t4                0.741      0.833      0.792          0.647                0.764                0.712                0.786                0.795             0.806             0.806   
B3T_pca_k64_t4               0.933      0.948      0.946          0.843                0.939                0.890                0.907                0.924             0.950             0.894   
B3_pca_k128                  0.996      0.978      0.990          0.902                0.992                0.945                0.935                0.958             0.986             0.890   
B3_pca_k16                   0.933      0.981      0.963          0.837                0.946                0.901                0.925                0.942             0.965             0.897   
B3_pca_k32                   0.972      0.992      0.987          0.878                0.977                0.931                0.943                0.963             0.987             0.906   
B3_pca_k4                    0.748      0.849      0.804          0.653                0.771                0.722                0.800                0.805             0.812             0.791   
B3_pca_k64                   0.989      0.989      0.993          0.897                0.990                0.945                0.941                0.964             0.991             0.901   

method                  AE_2d_l32_mae040  AE_2d_l32_mae050  AE_2d_l32_mae070  AE_2d_l4  AE_2d_l64  AE_3d_l128_t4  AE_3d_l16_t4  AE_3d_l32_t4  AE_3d_l32_t4_chl  AE_3d_l32_t4_chlk49nfl  \
method                                                                                                                                                                                   
AE_2d_l128                         0.813             0.723             0.471     0.872      0.998          0.950         0.861         0.927             0.776                   0.937   
AE_2d_l16                          0.848             0.770             0.479     0.944      0.984          0.937         0.886         0.938             0.766                   0.941   
AE_2d_l32                          0.830             0.746             0.482     0.913      0.995          0.947         0.878         0.938             0.773                   0.944   
AE_2d_l32_chl                      0.769             0.690             0.430     0.774      0.909          0.862         0.779         0.839             0.833                   0.853   
AE_2d_l32_chlk49nfl                0.828             0.740             0.481     0.889      0.996          0.949         0.871         0.934             0.781                   0.946   
